avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
11891.5,"[-0.5140948197162525, -0.527145943813033, -0.011417655590246989, -0.3913385777108755, -1.3766091392338908, -0.41278295325526904, 0.09347576280766909, -2.167867213932551, 0.4950249214913162]",13483.333333333334,"[-0.47927265378668404, -0.4211322723874211, -0.013917454494442042, -0.31186291528814664, -1.3251526894854109, -0.3021729781049212, 0.09528505508987731, -1.6807559761395647, 0.2901350991821843]",13216.666666666668,"[-0.51093909514682, -0.391047929402804, -0.011548457206288104, -0.3591047674410558, -1.3438785656451324, -0.33564617587917417, 0.09185771436250248, -2.2826542963580083, 0.40041553520573314]"
11853.833333333341,"[-0.46204924300925504, -0.5555361351275515, -0.01045098914746732, -0.37279575487003525, -1.6832148472034048, -0.3976237084076958, 0.08262470763770821, -2.395997977371241, 0.5062289771375797]",14133.333333333334,"[-0.2776421250720578, -0.5175474167765464, -0.013693764783508488, -0.2432986708483573, -1.3907724374615391, -0.4042516154887701, 0.07570094479157351, -3.485682474196936, 0.44807479226405716]",13623.333333333334,"[-0.47502573269309273, -0.6264877676820413, -0.01298246705131599, -0.31411462889801833, -1.4518511912048764, -0.4084022712624103, 0.07378674826990785, -2.670456483942626, 0.3629596868321482]"
12262.833333333332,"[-0.37109343236637377, -0.4711214180337617, -0.011796869583790823, -0.32970894446498866, -1.2551379814183483, -0.3135104277722973, 0.08615409662185942, -2.6490092651845782, 0.46113654402574505]",14450.0,"[-0.4953730437522629, -0.3879909031672177, -0.016197063126452162, -0.27768849921558186, -2.1313094765562615, -0.12652139103811028, 0.08081151519558316, -3.5483340767249247, 0.3056841244210996]",14300.0,"[-0.37357086368819675, -0.4412367690574208, -0.015607590125336412, -0.24055746798789518, -1.5779600358194625, -0.3158244941591156, 0.06807609835065001, -3.723309537653929, 0.40968143453701195]"
12430.666666666672,"[-0.2838814685950085, -0.4939830619053338, -0.01206078851759521, -0.2553467395913478, -1.0500802652980765, -0.38418003552157354, 0.08021106794709856, -3.3714773364155275, 0.40691685232845054]",15316.666666666666,"[-0.10527641164675176, -0.5873593897611323, -0.010211322673776356, -0.25591306170954364, -1.3120143697531788, -0.3877170349390971, 0.05803718224636477, -5.184349925803636, 0.3905501619555627]",15130.0,"[-0.2923319620936322, -0.44617823594803047, -0.01135309749735466, -0.27279087598940643, -1.44779568730234, -0.36690045037607294, 0.07823144393095664, -4.511311813230125, 0.3094670804071497]"
13349.833333333328,"[-0.22375000255566868, -0.5119922967868895, -0.011922944992580271, -0.2988566159397709, -1.4273787128672337, -0.40496865801814586, 0.057873979962965366, -4.661348796644432, 0.2899113761855178]",16366.666666666666,"[-0.1548497289693841, -0.6593580413488221, -0.009230465595513906, -0.258354828504615, -1.365092753400673, -0.3779632051070211, 0.06442247925291973, -5.881036811199378, 0.2957651383607462]",15990.0,"[-0.23399979969394816, -0.5109403666796168, -0.0109125007824538, -0.31997671594982785, -1.3133787130466295, -0.3735762854136683, 0.06356287830406068, -5.353454446922522, 0.26561247363933893]"
13316.5,"[-0.22345310945260113, -0.491793574422999, -0.011502335032609674, -0.29247237528948533, -1.3708328751195717, -0.41193531558028396, 0.05950182817445037, -4.275080903516031, 0.2912497234952102]",16000.0,"[-0.1296968575990716, -0.5431324876718783, -0.011456021292826218, -0.25593168466653116, -1.2460909000193303, -0.3377073215553901, 0.06808493590447513, -6.012769680167796, 0.28735141022183636]",15586.666666666666,"[-0.15653017062098476, -0.6791936699836272, -0.010302452065503462, -0.2838830252868735, -1.2459549274601671, -0.33242717534482447, 0.057400299527229526, -5.680125004665427, 0.23654629088879467]"
13832.833333333325,"[-0.12487392078733325, -0.5030325763614187, -0.008204753042830608, -0.32530472337922267, -1.262186648110406, -0.43318684331949336, 0.054416298991534336, -4.735772984867666, 0.2147062338309635]",17483.333333333332,"[-0.12370520252575914, -0.5174408604310322, -0.006101504379275431, -0.44052354876657446, -1.5280773793768252, -0.22293171808804849, 0.04301576408332144, -7.905551565707102, 0.10546239284243339]",16893.333333333332,"[-0.0987835548243548, -0.6057689109798283, -0.005782508875785662, -0.390440941927498, -1.1914527874001823, -0.3253881062957037, 0.04524715206285925, -7.63615538951789, 0.16237372484133655]"
14795.833333333336,"[-0.11159033891033364, -0.5561156599901675, -0.004237128818157881, -0.4272920984158835, -1.1856798437071105, -0.17103279589944503, 0.05049191635108913, -8.108422999855623, 0.11965311012117218]",19716.666666666668,"[-0.1040435579743455, -0.6783202128385953, -0.002269094947156922, -0.3791861423770241, -1.3975216515286515, -0.12382217387803442, 0.05875204062221081, -9.206800675786349, 0.11297437337683268]",17573.333333333336,"[-0.11157884001427268, -0.6392903492611417, -0.0031605746385645313, -0.38544296122895527, -1.2080527367078588, -0.15487070833876077, 0.053067478622911904, -8.655303268129511, 0.10776283108931403]"
15729.66666666667,"[-0.08966224545449751, -0.5822661279357418, -0.003829373750805605, -0.4140503164110899, -1.5126732716326992, -0.1626925125180644, 0.048452510213251386, -8.836073109531418, 0.13566783515354916]",19183.333333333332,"[-0.07905345483412275, -0.37051692055894725, -0.0029905619380736666, -0.33268902545203655, -1.2552814067574225, -0.11196258152672162, 0.04518835530951151, -6.755927585367253, 0.12692784017486877]",18523.333333333332,"[-0.06969242226440471, -0.4920265485716885, -0.003308155476978984, -0.34780272655405914, -1.6424484472038858, -0.16575690249071465, 0.06020254553515446, -9.957880997139899, 0.13933240134944577]"
15443.16666666667,"[-0.042471450133221254, -0.3959026613457779, -0.0024917004069905, -0.3289433035499682, -1.8576862862339352, -0.2119414070832604, 0.06372577725265241, -9.645408497500831, 0.13241857013988065]",19933.333333333332,"[-0.0279403731905886, -0.49807861137057663, -0.003623541808306773, -0.35611209635594987, -2.261251957450068, -0.30014145220851784, 0.0726731091781297, -7.944738378738265, 0.10771263721098738]",18316.666666666664,"[-0.04016078584356169, -0.36801302986050344, -0.0026337412564681585, -0.28490940320194663, -2.0079650077223365, -0.21945415964624768, 0.06253854094628133, -10.254262329992255, 0.1377729822799703]"
15484.333333333338,"[-0.04108144711794241, -0.4590094169510472, -0.002572617487958313, -0.3983441248826599, -1.9113450831625165, -0.24569130383746207, 0.05651910993248307, -10.350499385386602, 0.12926689272027914]",18383.333333333332,"[-0.023815647890604183, -0.4745898906435454, -0.002452137354444096, -0.27565148417611324, -2.250181481501655, -0.2463171867568936, 0.06228321305195854, -7.973679632708772, 0.12377017940276254]",18180.0,"[-0.03106593972075341, -0.4066812952862837, -0.002309941213935544, -0.4010531872356505, -1.9167215663244093, -0.27013115681933864, 0.053622372321407874, -10.793783581333306, 0.1422350140814881]"
